Code,Income Group,Table Name
LAO,Lower middle income,Lao PDR
LVA,High income,Latvia
LBN,Lower middle income,Lebanon
LSO,Lower middle income,Lesotho
LBR,Low income,Liberia
LBY,Upper middle income,Libya
LIE,High income,Liechtenstein
LTU,High income,Lithuania
LUX,High income,Luxembourg
MAC,High income,"Macao SAR, China"
MDG,Low income,Madagascar
MWI,Low income,Malawi
MYS,Upper middle income,Malaysia
MDV,Upper middle income,Maldives
MLI,Low income,Mali
MLT,High income,Malta
MHL,Upper middle income,Marshall Islands
MRT,Lower middle income,Mauritania
MUS,Upper middle income,Mauritius
MEX,Upper middle income,Mexico
FSM,Lower middle income,"Micronesia, Fed. Sts."
MDA,Upper middle income,Moldova
MCO,High income,Monaco
MNG,Lower middle income,Mongolia
MNE,Upper middle income,Montenegro
MAR,Lower middle income,Morocco
MOZ,Low income,Mozambique
MMR,Lower middle income,Myanmar
NAM,Upper middle income,Namibia
NRU,High income,Nauru
NPL,Lower middle income,Nepal
NLD,High income,Netherlands
NCL,High income,New Caledonia
NZL,High income,New Zealand
NIC,Lower middle income,Nicaragua
NER,Low income,Niger
NGA,Lower middle income,Nigeria
MKD,Upper middle income,North Macedonia
MNP,High income,Northern Mariana Islands
NOR,High income,Norway
OMN,High income,Oman
PAK,Lower middle income,Pakistan
PLW,Upper middle income,Palau
PAN,High income,Panama
PNG,Lower middle income,Papua New Guinea
PRY,Upper middle income,Paraguay
PER,Upper middle income,Peru
PHL,Lower middle income,Philippines
POL,High income,Poland
PRT,High income,Portugal
PRI,High income,Puerto Rico
QAT,High income,Qatar
ROU,High income,Romania
RUS,Upper middle income,Russian Federation
RWA,Low income,Rwanda
WSM,Lower middle income,Samoa
SMR,High income,San Marino
STP,Lower middle income,São Tomé and Principe
SAU,High income,Saudi Arabia
SEN,Lower middle income,Senegal
SRB,Upper middle income,Serbia
SYC,High income,Seychelles
SLE,Low income,Sierra Leone
SGP,High income,Singapore
SXM,High income,Sint Maarten (Dutch part)
SVK,High income,Slovak Republic
SVN,High income,Slovenia
SLB,Lower middle income,Solomon Islands
SOM,Low income,Somalia
ZAF,Upper middle income,South Africa
SSD,Low income,South Sudan
ESP,High income,Spain
LKA,Lower middle income,Sri Lanka
KNA,High income,St. Kitts and Nevis
LCA,Upper middle income,St. Lucia
MAF,High income,St. Martin (French part)
VCT,Upper middle income,St. Vincent and the Grenadines
SDN,Low income,Sudan
SUR,Upper middle income,Suriname
SWE,High income,Sweden
CHE,High income,Switzerland
SYR,Low income,Syrian Arab Republic
TJK,Lower middle income,Tajikistan
TZA,Lower middle income,Tanzania
THA,Upper middle income,Thailand
TLS,Lower middle income,Timor-Leste
TGO,Low income,Togo
TON,Upper middle income,Tonga
TTO,High income,Trinidad and Tobago
TUN,Lower middle income,Tunisia
TUR,Upper middle income,Türkiye
TKM,Upper middle income,Turkmenistan
TCA,High income,Turks and Caicos Islands
TUV,Upper middle income,Tuvalu
UGA,Low income,Uganda
UKR,Lower middle income,Ukraine
ARE,High income,United Arab Emirates
GBR,High income,United Kingdom
USA,High income,United States
URY,High income,Uruguay
UZB,Lower middle income,Uzbekistan
VUT,Lower middle income,Vanuatu
VEN,Uncategorized,"Venezuela, RB"
VNM,Lower middle income,Vietnam
VIR,High income,Virgin Islands (U.S.)
PSE,Lower middle income,West Bank and Gaza
YEM,Low income,"Yemen, Rep."
ZMB,Low income,Zambia
ZWE,Lower middle income,Zimbabwe
