Country Code,Income Group,Country Name,Series Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AUS,High income,Australia,Merchandise imports (current US$),2662000000.0,2369000000.0,2540000000.0,2776000000.0,3318000000.0,3762000000.0,3612000000.0,3924000000.0,4366000000.0,4538000000.0,5056000000.0,5228000000.0,5028000000.0,7393000000.0,11982000000.0,10697000000.0,12232000000.0,13511000000.0,15567000000.0,18191000000.0,22399000000.0,26215000000.0,26667000000.0,21458000000.0,25919000000.0,25889000000.0,26104000000.0,29318000000.0,36095000000.0,44933000000.0,41985000000.0,41648000000.0,43807000000.0,45577000000.0,53425000000.0,61283000000.0,65427000000.0,65892000000.0,64630000000.0,69158000000.0,71529000000.0,63888000000.0,72690000000.0,89084000000.0,109384000000.0,125281000000.0,139253000000.0,165336000000.0,200273000000.0,165471000000.0,201639000000.0,243701000000.0,260940000000.0,242140000000.0,237352000000.0,208501000000.0,196270000000.0,228780000000.0,235386000000.0,221564000000.0,211824000000.0,261165000000.0
AUT,High income,Austria,Merchandise imports (current US$),1416000000.0,1485000000.0,1552000000.0,1675000000.0,1863000000.0,2101000000.0,2328000000.0,2309000000.0,2496000000.0,2825000000.0,3549000000.0,4190000000.0,5216000000.0,7119000000.0,9022000000.0,9394000000.0,11523000000.0,14245000000.0,16019000000.0,20252000000.0,24444000000.0,21043000000.0,19502000000.0,19423000000.0,19629000000.0,20986000000.0,26863000000.0,32724000000.0,36223000000.0,38980000000.0,49146000000.0,50815000000.0,54112000000.0,49126000000.0,55233000000.0,66237000000.0,68505000000.0,65739000000.0,69504000000.0,71321000000.0,72394000000.0,74633000000.0,78299000000.0,99532000000.0,119905000000.0,127327000000.0,137212000000.0,163037000000.0,184293000000.0,143063000000.0,159009000000.0,191417000000.0,178513000000.0,183277000000.0,182076000000.0,156046000000.0,157697000000.0,175755000000.0,193722000000.0,184758000000.0,172449000000.0,219520000000.0
AZE,Upper middle income,Azerbaijan,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998000000.0,636000000.0,778000000.0,668000000.0,961000000.0,794000000.0,1076000000.0,1036000000.0,1172000000.0,1431000000.0,1666000000.0,2626000000.0,3516000000.0,4350000000.0,5269000000.0,6045000000.0,7574000000.0,6514000000.0,6746000000.0,10166000000.0,10417000000.0,10321000000.0,9188000000.0,9217000000.0,8489000000.0,8783000000.0,11466000000.0,13668000000.0,10732000000.0,11706000000.0
BHS,High income,Bahamas The,Merchandise imports (current US$),66000000.0,85000000.0,69000000.0,79000000.0,100000000.0,105000000.0,139000000.0,163000000.0,176000000.0,296000000.0,337000000.0,511000000.0,485000000.0,764000000.0,1908000000.0,2697000000.0,3125000000.0,3568000000.0,3150000000.0,3514000000.0,7546000000.0,7284000000.0,6349000000.0,4616000000.0,4098000000.0,3078000000.0,3289000000.0,3080000000.0,2291000000.0,3137000000.0,1112000000.0,1091000000.0,1038000000.0,954000000.0,1056000000.0,1243000000.0,1366000000.0,1666000000.0,1873000000.0,1757000000.0,2074000000.0,1912000000.0,1728000000.0,1762000000.0,1905000000.0,2312000000.0,2727000000.0,2956000000.0,3199000000.0,2535000000.0,2591000000.0,2966000000.0,3386000000.0,3166000000.0,3344000000.0,2954000000.0,2632000000.0,3109000000.0,3317000000.0,3009000000.0,2024000000.0,3201000000.0
BHR,High income,Bahrain,Merchandise imports (current US$),180000000.0,186000000.0,201000000.0,186000000.0,180000000.0,168000000.0,176000000.0,206000000.0,193000000.0,209000000.0,247000000.0,312000000.0,376000000.0,512000000.0,1127000000.0,1189000000.0,1668000000.0,2029000000.0,2045000000.0,2480000000.0,3483000000.0,4124000000.0,3614000000.0,3262000000.0,3480000000.0,3107000000.0,2405000000.0,2714000000.0,2593000000.0,3134000000.0,3712000000.0,4115000000.0,4263000000.0,3857000000.0,3761000000.0,3715000000.0,4272000000.0,4026000000.0,3566000000.0,3698000000.0,4633000000.0,4306000000.0,5013000000.0,5657000000.0,7385000000.0,9393000000.0,10515000000.0,11488000000.0,14980000000.0,10100000000.0,12260000000.0,12730000000.0,10891000000.0,9997000000.0,12216000000.0,12408000000.0,11579000000.0,13145000000.0,14871000000.0,13256000000.0,12683000000.0,14188000000.0
BGD,Lower middle income,Bangladesh,Merchandise imports (current US$),,,,,,,,,,,,,683000000.0,986000000.0,1078000000.0,1321000000.0,952000000.0,1163000000.0,1513000000.0,1908000000.0,2599000000.0,2699000000.0,2464000000.0,2165000000.0,2825000000.0,2542000000.0,2546000000.0,2715000000.0,3041000000.0,3650000000.0,3618000000.0,3412000000.0,3732000000.0,3994000000.0,4602000000.0,6694000000.0,7032000000.0,7263000000.0,7495000000.0,8331000000.0,8883000000.0,9018000000.0,8592000000.0,10434000000.0,12036000000.0,13889000000.0,16034000000.0,18596000000.0,23860000000.0,21833000000.0,27821000000.0,36214000000.0,34173000000.0,37085000000.0,41119000000.0,42047000000.0,44772000000.0,52836000000.0,60495000000.0,59094000000.0,52804000000.0,80448000000.0
BRB,High income,Barbados,Merchandise imports (current US$),49000000.0,47000000.0,52000000.0,58000000.0,64000000.0,68000000.0,76000000.0,77000000.0,84000000.0,97000000.0,118000000.0,124000000.0,141000000.0,168000000.0,204000000.0,217000000.0,237000000.0,273000000.0,314000000.0,425000000.0,524000000.0,571000000.0,551000000.0,616000000.0,657000000.0,607000000.0,587000000.0,515000000.0,582000000.0,673000000.0,704000000.0,699000000.0,524000000.0,577000000.0,615000000.0,771000000.0,833000000.0,996000000.0,1010000000.0,1108000000.0,1156000000.0,1087000000.0,1039000000.0,1195000000.0,1413000000.0,1604000000.0,1697000000.0,1746000000.0,1920000000.0,1449000000.0,1569000000.0,1805000000.0,1780000000.0,1759000000.0,1739000000.0,1618000000.0,1622000000.0,1600000000.0,1578000000.0,1581000000.0,1497000000.0,1672000000.0
BLR,Upper middle income,Belarus,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3495000000.0,2539000000.0,3066000000.0,5564000000.0,6939000000.0,8689000000.0,8549000000.0,6674000000.0,8646000000.0,8286000000.0,9092000000.0,11558000000.0,16491000000.0,16708000000.0,22351000000.0,28693000000.0,39381000000.0,28569000000.0,34884000000.0,45730000000.0,46404000000.0,42948000000.0,40502000000.0,29941000000.0,27464000000.0,34231000000.0,38409000000.0,39477000000.0,32767000000.0,41387000000.0
BEL,High income,Belgium,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164810000000.0,177511000000.0,178664000000.0,198311000000.0,234945000000.0,285621000000.0,318700000000.0,351635000000.0,411558000000.0,466307000000.0,353364000000.0,391177000000.0,466943000000.0,439128000000.0,451677000000.0,453700000000.0,375530000000.0,379409000000.0,409220000000.0,455188000000.0,428933000000.0,397435000000.0,510208000000.0
BLZ,Upper middle income,Belize,Merchandise imports (current US$),13000000.0,16000000.0,22000000.0,19000000.0,22000000.0,24000000.0,27000000.0,26000000.0,27000000.0,30000000.0,33000000.0,36000000.0,43000000.0,44000000.0,64000000.0,88000000.0,73000000.0,90000000.0,106000000.0,132000000.0,150000000.0,162000000.0,128000000.0,112000000.0,130000000.0,128000000.0,122000000.0,143000000.0,181000000.0,216000000.0,211000000.0,256000000.0,274000000.0,281000000.0,260000000.0,257000000.0,255000000.0,286000000.0,295000000.0,370000000.0,524000000.0,517000000.0,525000000.0,552000000.0,520000000.0,593000000.0,660000000.0,684000000.0,837000000.0,669000000.0,706000000.0,831000000.0,861000000.0,928000000.0,962000000.0,991000000.0,953000000.0,916000000.0,958000000.0,986000000.0,787000000.0,1061000000.0
BEN,Lower middle income,Benin,Merchandise imports (current US$),31000000.0,25000000.0,27000000.0,33000000.0,31000000.0,34000000.0,33000000.0,48000000.0,50000000.0,55000000.0,64000000.0,77000000.0,92000000.0,112000000.0,147000000.0,188000000.0,219000000.0,268000000.0,311000000.0,320000000.0,331000000.0,543000000.0,464000000.0,318000000.0,288000000.0,331000000.0,387000000.0,349000000.0,568000000.0,421000000.0,265000000.0,241000000.0,578000000.0,571000000.0,431000000.0,746000000.0,654000000.0,681000000.0,736000000.0,749000000.0,613000000.0,623000000.0,725000000.0,892000000.0,894000000.0,1018000000.0,1228000000.0,2037000000.0,2289000000.0,2064000000.0,2054000000.0,2129000000.0,2339000000.0,3010000000.0,3828000000.0,2561000000.0,2872000000.0,3494000000.0,4375000000.0,3932000000.0,3555000000.0,4333000000.0
BMU,High income,Bermuda,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,312000000.0,323000000.0,351000000.0,378000000.0,414000000.0,403000000.0,440000000.0,420000000.0,488000000.0,535000000.0,595000000.0,510000000.0,562000000.0,534000000.0,551000000.0,550000000.0,569000000.0,619000000.0,629000000.0,712000000.0,720000000.0,720000000.0,747000000.0,833000000.0,988000000.0,985000000.0,1094000000.0,1167000000.0,1159000000.0,1064000000.0,972000000.0,900000000.0,900000000.0,1012000000.0,962000000.0,934000000.0,977000000.0,1095000000.0,1101000000.0,1146000000.0,893000000.0,1085000000.0
BTN,Lower middle income,Bhutan,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,50000000.0,68000000.0,68000000.0,72000000.0,73000000.0,84000000.0,93000000.0,87000000.0,127000000.0,90000000.0,81000000.0,83000000.0,125000000.0,90000000.0,92000000.0,112000000.0,128000000.0,137000000.0,134000000.0,182000000.0,175000000.0,191000000.0,197000000.0,249000000.0,411000000.0,386000000.0,420000000.0,526000000.0,543000000.0,529000000.0,854000000.0,1043000000.0,991000000.0,909000000.0,932000000.0,1061000000.0,1002000000.0,1029000000.0,1048000000.0,981000000.0,899000000.0,1220000000.0
BOL,Lower middle income,Bolivia,Merchandise imports (current US$),71000000.0,78000000.0,97000000.0,103000000.0,103000000.0,134000000.0,138000000.0,151000000.0,153000000.0,165000000.0,159000000.0,170000000.0,185000000.0,230000000.0,390000000.0,558000000.0,555000000.0,618000000.0,808000000.0,894000000.0,665000000.0,917000000.0,554000000.0,577000000.0,489000000.0,691000000.0,674000000.0,766000000.0,591000000.0,611000000.0,687000000.0,970000000.0,1090000000.0,1206000000.0,1209000000.0,1424000000.0,1635000000.0,1851000000.0,1983000000.0,1755000000.0,1830000000.0,1708000000.0,1775000000.0,1616000000.0,1877000000.0,2431000000.0,2916000000.0,3586000000.0,5081000000.0,4545000000.0,5590000000.0,7927000000.0,8578000000.0,9338000000.0,10519000000.0,9766000000.0,8427000000.0,9288000000.0,9996000000.0,9784000000.0,7080000000.0,9559000000.0
BIH,Upper middle income,Bosnia and Herzegovina,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360000000.0,365000000.0,894000000.0,1082000000.0,1882000000.0,2333000000.0,2910000000.0,3305000000.0,3107000000.0,3354000000.0,3872000000.0,4801000000.0,5915000000.0,7070000000.0,7345000000.0,9720000000.0,12189000000.0,8773000000.0,9223000000.0,11051000000.0,10019000000.0,10295000000.0,10988000000.0,8986000000.0,9146000000.0,10504000000.0,11630000000.0,11159000000.0,9873000000.0,13029000000.0
BWA,Upper middle income,Botswana,Merchandise imports (current US$),9000000.0,8000000.0,11000000.0,12000000.0,13000000.0,23000000.0,26000000.0,31000000.0,33000000.0,46000000.0,57000000.0,83000000.0,110000000.0,166000000.0,184000000.0,216000000.0,209000000.0,286000000.0,371000000.0,538000000.0,692000000.0,797000000.0,689000000.0,735000000.0,697000000.0,580000000.0,713000000.0,937000000.0,1196000000.0,1500000000.0,1946000000.0,1947000000.0,1861000000.0,1771000000.0,1640000000.0,1911000000.0,1723000000.0,2258000000.0,2251000000.0,2198000000.0,2081000000.0,1809000000.0,1845000000.0,2448000000.0,3231000000.0,3161000000.0,3086000000.0,4067000000.0,5211000000.0,4728000000.0,5657000000.0,7272000000.0,8025000000.0,8352000000.0,8078000000.0,7238000000.0,6143000000.0,5329000000.0,6306000000.0,6564000000.0,6433000000.0,8359000000.0
BRA,Upper middle income,Brazil,Merchandise imports (current US$),1462000000.0,1460000000.0,1475000000.0,1487000000.0,1263000000.0,1096000000.0,1496000000.0,1667000000.0,2132000000.0,2265000000.0,2849000000.0,3701000000.0,4783000000.0,6999000000.0,14168000000.0,13592000000.0,13726000000.0,13257000000.0,15054000000.0,19804000000.0,24961000000.0,24079000000.0,21069000000.0,16801000000.0,15210000000.0,14332000000.0,15557000000.0,16581000000.0,16055000000.0,19885000000.0,22522000000.0,22947000000.0,23116000000.0,27604000000.0,36192000000.0,54137000000.0,56981000000.0,64242000000.0,60652000000.0,51767000000.0,58643000000.0,58382000000.0,49723000000.0,50881000000.0,66433000000.0,77628000000.0,97049000000.0,128111000000.0,183921000000.0,135378000000.0,193184000000.0,238706000000.0,235404000000.0,252282000000.0,240763000000.0,180460000000.0,145248000000.0,165855000000.0,192840000000.0,193162000000.0,166336000000.0,234690000000.0
VGB,High income,British Virgin Islands,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,High income,Brunei Darussalam,Merchandise imports (current US$),17000000.0,16000000.0,16000000.0,21000000.0,31000000.0,36000000.0,51000000.0,45000000.0,69000000.0,73000000.0,84000000.0,299000000.0,106000000.0,132000000.0,185000000.0,273000000.0,260000000.0,279000000.0,281000000.0,396000000.0,572000000.0,594000000.0,731000000.0,724000000.0,626000000.0,615000000.0,656000000.0,641000000.0,744000000.0,859000000.0,1001000000.0,1208000000.0,1482000000.0,1822000000.0,1854000000.0,2091000000.0,2494000000.0,2203000000.0,1552000000.0,1342000000.0,1107000000.0,1159000000.0,1556000000.0,1327000000.0,1422000000.0,1491000000.0,1676000000.0,2101000000.0,2572000000.0,2449000000.0,2538000000.0,3629000000.0,3572000000.0,3612000000.0,3599000000.0,3229000000.0,2679000000.0,3085000000.0,4164000000.0,5103000000.0,5343000000.0,8570000000.0
BGR,Upper middle income,Bulgaria,Merchandise imports (current US$),633000000.0,666000000.0,785000000.0,933000000.0,1062000000.0,1178000000.0,1479000000.0,1572000000.0,1782000000.0,1750000000.0,1831000000.0,2120000000.0,2567000000.0,3239000000.0,4326000000.0,5949000000.0,6228000000.0,6329000000.0,7651000000.0,8514000000.0,9670000000.0,10800000000.0,11540000000.0,12290000000.0,12720000000.0,13630000000.0,15200000000.0,16160000000.0,16700000000.0,15180000000.0,5100000000.0,3790000000.0,4220000000.0,4900000000.0,4585000000.0,5660000000.0,5075000000.0,4930000000.0,4949000000.0,5478000000.0,6544000000.0,7279000000.0,7954000000.0,10871000000.0,14453000000.0,18163000000.0,23270000000.0,29961000000.0,36908000000.0,23539000000.0,25513000000.0,32582000000.0,32710000000.0,34303000000.0,34651000000.0,29205000000.0,28933000000.0,34184000000.0,37856000000.0,37663000000.0,35056000000.0,46195000000.0
BFA,Low income,Burkina Faso,Merchandise imports (current US$),11000000.0,28000000.0,35000000.0,37000000.0,40000000.0,37000000.0,38000000.0,36000000.0,44000000.0,54000000.0,49000000.0,56000000.0,69000000.0,98000000.0,144000000.0,151000000.0,144000000.0,209000000.0,227000000.0,301000000.0,359000000.0,338000000.0,347000000.0,291000000.0,253000000.0,332000000.0,405000000.0,434000000.0,454000000.0,391000000.0,536000000.0,533000000.0,466000000.0,509000000.0,349000000.0,455000000.0,647000000.0,587000000.0,732000000.0,678000000.0,611000000.0,656000000.0,739000000.0,925000000.0,1270000000.0,1260000000.0,1319000000.0,1678000000.0,2018000000.0,1870000000.0,2048000000.0,2406000000.0,3575000000.0,4365000000.0,3576000000.0,3080000000.0,3345000000.0,3861000000.0,4301000000.0,4284000000.0,4126000000.0,4614000000.0
BDI,Low income,Burundi,Merchandise imports (current US$),21000000.0,17000000.0,19000000.0,18000000.0,17000000.0,18000000.0,20000000.0,20000000.0,23000000.0,21000000.0,22000000.0,30000000.0,32000000.0,31000000.0,43000000.0,62000000.0,58000000.0,74000000.0,98000000.0,152000000.0,168000000.0,161000000.0,213000000.0,182000000.0,186000000.0,189000000.0,202000000.0,212000000.0,204000000.0,187000000.0,231000000.0,255000000.0,221000000.0,196000000.0,224000000.0,234000000.0,127000000.0,121000000.0,158000000.0,118000000.0,148000000.0,139000000.0,129000000.0,157000000.0,176000000.0,269000000.0,431000000.0,319000000.0,403000000.0,402000000.0,509000000.0,752000000.0,751000000.0,811000000.0,769000000.0,857000000.0,616000000.0,755000000.0,793000000.0,887000000.0,909000000.0,1030000000.0
CPV,Lower middle income,Cabo Verde,Merchandise imports (current US$),12000000.0,6000000.0,7000000.0,4000000.0,7000000.0,6000000.0,6000000.0,7000000.0,7000000.0,11000000.0,16000000.0,20000000.0,24000000.0,34000000.0,34000000.0,40000000.0,30000000.0,38000000.0,53000000.0,53000000.0,68000000.0,71000000.0,72000000.0,87000000.0,83000000.0,84000000.0,107000000.0,100000000.0,106000000.0,112000000.0,136000000.0,147000000.0,180000000.0,154000000.0,209000000.0,252000000.0,234000000.0,235000000.0,228000000.0,246000000.0,230000000.0,234000000.0,276000000.0,351000000.0,431000000.0,438000000.0,542000000.0,750000000.0,825000000.0,709000000.0,742000000.0,947000000.0,766000000.0,725000000.0,768000000.0,604000000.0,666000000.0,789000000.0,816000000.0,796000000.0,720000000.0,800000000.0
KHM,Lower middle income,Cambodia,Merchandise imports (current US$),95000000.0,97000000.0,102000000.0,107000000.0,82000000.0,103000000.0,111000000.0,96000000.0,116000000.0,102000000.0,54000000.0,57000000.0,80000000.0,150000000.0,180000000.0,60000000.0,10000000.0,19000000.0,20000000.0,150000000.0,180000000.0,180000000.0,180000000.0,180000000.0,180000000.0,120000000.0,140000000.0,140000000.0,127000000.0,135000000.0,164000000.0,245000000.0,443000000.0,471000000.0,744000000.0,1187000000.0,1072000000.0,1064000000.0,1166000000.0,1591000000.0,1939000000.0,2094000000.0,2318000000.0,2560000000.0,3193000000.0,3927000000.0,4771000000.0,5439000000.0,6508000000.0,5830000000.0,6791000000.0,9300000000.0,11350000000.0,9555000000.0,10692000000.0,13261000000.0,12371000000.0,14283000000.0,17489000000.0,20279000000.0,19114000000.0,28369000000.0
CMR,Lower middle income,Cameroon,Merchandise imports (current US$),84000000.0,96000000.0,102000000.0,128000000.0,116000000.0,134000000.0,131000000.0,177000000.0,188000000.0,204000000.0,242000000.0,251000000.0,303000000.0,334000000.0,437000000.0,599000000.0,613000000.0,735000000.0,1056000000.0,1275000000.0,1602000000.0,1427000000.0,1211000000.0,1224000000.0,1112000000.0,1151000000.0,1704000000.0,1723000000.0,1274000000.0,1261000000.0,1400000000.0,1173000000.0,1163000000.0,1102000000.0,1083000000.0,1199000000.0,1227000000.0,1359000000.0,1495000000.0,1318000000.0,1489000000.0,1852000000.0,1866000000.0,2163000000.0,2406000000.0,2735000000.0,3150000000.0,4657000000.0,5686000000.0,4442000000.0,5133000000.0,6800000000.0,6515000000.0,6649000000.0,7553000000.0,6045000000.0,5206000000.0,4796000000.0,5656000000.0,6264000000.0,5349000000.0,6100000000.0
